date_of_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
2022-01-19,5433,217,78,208.32,3.99,35.94,0.96,11930,595,37,85.0,4.99,6.22,0.14
2022-01-20,4215,168,59,156.24,3.99,35.12,0.93,7120,355,57,87.84,4.99,16.06,0.25
2022-01-21,3955,158,51,126.4,3.99,32.28,0.8,7964,397,52,98.94,4.98,13.1,0.25
2022-01-22,5324,212,67,148.4,3.98,31.6,0.7,11224,560,23,138.29,4.99,4.11,0.25
2022-01-23,4184,167,65,95.19,3.99,38.92,0.57,10675,532,55,137.24,4.98,10.34,0.26
2022-01-24,3459,138,40,191.82,3.99,28.99,1.39,9076,452,25,93.3,4.98,5.53,0.21
2022-01-25,3021,120,44,110.4,3.97,36.67,0.92,7332,365,35,81.24,4.98,9.59,0.22
2022-01-26,5300,212,63,212.0,4.0,29.72,1.0,10368,517,35,84.21,4.99,6.77,0.16
2022-01-27,3747,149,55,211.58,3.98,36.91,1.42,8316,415,50,81.5,4.99,12.05,0.2
2022-01-28,5904,236,87,302.08,4.0,36.86,1.28,8196,409,35,102.58,4.99,8.56,0.25
2022-01-29,3474,138,53,86.94,3.97,38.41,0.63,10170,507,55,108.55,4.99,10.85,0.21
2022-01-30,4082,163,56,174.41,3.99,34.36,1.07,8429,420,39,99.1,4.98,9.29,0.24
2022-01-31,5558,222,85,208.68,3.99,38.29,0.94,7355,367,9,92.64,4.99,2.45,0.25
2022-02-01,5047,201,81,261.3,3.98,40.3,1.3,11234,560,5,76.9,4.98,0.89,0.14
2022-02-02,5747,229,78,279.38,3.98,34.06,1.22,8526,425,39,98.6,4.98,9.18,0.23
2022-02-03,3975,159,53,189.21,4.0,33.33,1.19,10897,543,13,87.29,4.98,2.39,0.16
2022-02-04,4806,192,67,161.28,4.0,34.9,0.84,7028,350,39,103.33,4.98,11.14,0.3
2022-02-05,3189,127,42,165.1,3.98,33.07,1.3,8013,399,55,114.02,4.98,13.78,0.29
2022-02-06,5734,229,77,125.95,3.99,33.62,0.55,9702,484,44,110.66,4.99,9.09,0.23
2022-02-07,3562,142,47,93.72,3.99,33.1,0.66,7827,390,18,97.0,4.98,4.62,0.25
2022-02-08,4899,195,76,163.8,3.98,38.97,0.84,11446,571,48,104.48,4.99,8.41,0.18
2022-02-09,4267,170,63,98.6,3.98,37.06,0.58,9024,450,45,82.79,4.99,10.0,0.18
2022-02-10,5879,235,79,171.55,4.0,33.62,0.73,7298,364,11,61.94,4.99,3.02,0.17
2022-02-11,4528,181,51,240.73,4.0,28.18,1.33,8865,442,46,110.0,4.99,10.41,0.25
2022-02-12,3646,145,43,210.25,3.98,29.66,1.45,11016,549,57,80.21,4.98,10.38,0.15
2022-02-13,5068,202,73,161.6,3.99,36.14,0.8,9111,454,35,113.52,4.98,7.71,0.25
2022-02-14,5888,235,71,178.6,3.99,30.21,0.76,7754,386,24,119.76,4.98,6.22,0.31
2022-02-15,5214,208,74,162.24,3.99,35.58,0.78,7769,387,12,133.27,4.98,3.1,0.34
2022-02-16,4297,171,54,133.38,3.98,31.58,0.78,10735,535,35,136.65,4.98,6.54,0.26
2022-02-17,5435,217,76,117.18,3.99,35.02,0.54,8238,411,29,60.84,4.99,7.06,0.15
2022-02-18,3600,144,50,205.92,4.0,34.72,1.43,11929,595,54,139.23,4.99,9.08,0.23
2022-02-19,5363,214,75,151.94,3.99,35.05,0.71,9213,459,28,114.64,4.98,6.1,0.25
2022-02-20,5061,202,68,185.84,3.99,33.66,0.92,8906,444,11,111.48,4.99,2.48,0.25
2022-02-21,3241,129,43,65.79,3.98,33.33,0.51,8564,427,28,61.22,4.99,6.56,0.14
2022-02-22,5041,201,66,273.36,3.99,32.84,1.36,8218,410,31,128.9,4.99,7.56,0.31
2022-02-23,5824,232,83,285.36,3.98,35.78,1.23,11601,579,11,71.64,4.99,1.9,0.12
2022-02-24,5612,224,82,324.8,3.99,36.61,1.45,8357,417,11,126.99,4.99,2.64,0.3
2022-02-25,5945,237,76,303.36,3.99,32.07,1.28,10839,540,26,61.25,4.98,4.81,0.11
2022-02-26,4363,174,60,140.94,3.99,34.48,0.81,8460,422,23,111.68,4.99,5.45,0.26
2022-02-27,5139,205,72,153.75,3.99,35.12,0.75,10985,548,58,94.78,4.99,10.58,0.17
2022-02-28,4390,175,62,210.0,3.99,35.43,1.2,8416,420,27,76.06,4.99,6.43,0.18
2022-03-01,4478,179,63,153.94,4.0,35.2,0.86,9853,491,32,68.6,4.98,6.52,0.14
2022-03-02,5556,222,75,237.54,4.0,33.78,1.07,11856,591,45,95.21,4.98,7.61,0.16
2022-03-03,3775,151,54,77.01,4.0,35.76,0.51,11928,595,29,69.86,4.99,4.87,0.12
2022-03-04,3034,121,45,67.76,3.99,37.19,0.56,8428,420,26,98.92,4.98,6.19,0.24
2022-03-05,5253,210,74,218.4,4.0,35.24,1.04,11378,567,29,110.02,4.98,5.11,0.19
2022-03-06,4955,198,71,211.86,4.0,35.86,1.07,11474,572,17,126.19,4.99,2.97,0.22
2022-03-07,4585,183,69,228.75,3.99,37.7,1.25,11293,563,41,114.29,4.99,7.28,0.2
2022-03-08,4021,160,46,100.8,3.98,28.75,0.63,10062,502,19,65.22,4.99,3.78,0.13
2022-03-09,5613,224,83,226.24,3.99,37.05,1.01,10071,502,37,84.59,4.98,7.37,0.17
2022-03-10,4129,165,59,113.85,4.0,35.76,0.69,7555,377,17,83.04,4.99,4.51,0.22
2022-03-11,4500,180,57,106.2,4.0,31.67,0.59,7355,367,20,133.2,4.99,5.45,0.36
2022-03-12,3702,148,55,134.68,4.0,37.16,0.91,8563,427,59,129.42,4.99,13.82,0.3
2022-03-13,5449,217,73,143.22,3.98,33.64,0.66,10500,524,11,89.61,4.99,2.1,0.17
2022-03-14,5777,231,79,166.32,4.0,34.2,0.72,8040,401,35,65.69,4.99,8.73,0.16
2022-03-15,4579,183,61,150.06,4.0,33.33,0.82,9686,483,45,131.53,4.99,9.32,0.27
2022-03-16,3161,126,45,95.76,3.99,35.71,0.76,11474,572,57,131.06,4.99,9.97,0.23
2022-03-17,3201,128,40,75.52,4.0,31.25,0.59,11775,587,20,128.38,4.99,3.41,0.22
2022-03-18,4981,199,74,117.41,4.0,37.19,0.59,9553,476,15,127.61,4.98,3.15,0.27
2022-03-19,3995,159,54,109.71,3.98,33.96,0.69,8779,438,19,98.42,4.99,4.34,0.22
2022-03-20,5317,212,72,116.6,3.99,33.96,0.55,11994,598,14,74.19,4.99,2.34,0.12
2022-03-21,3815,152,56,171.76,3.98,36.84,1.13,7075,353,11,98.2,4.99,3.12,0.28
2022-03-22,3455,138,46,109.02,3.99,33.33,0.79,11326,565,11,99.57,4.99,1.95,0.18
2022-03-23,4275,171,64,133.38,4.0,37.43,0.78,10319,515,33,99.19,4.99,6.41,0.19
2022-03-24,4016,160,60,132.8,3.98,37.5,0.83,9349,466,29,103.1,4.98,6.22,0.22
2022-03-25,5343,213,67,247.08,3.99,31.46,1.16,9773,487,37,80.61,4.98,7.6,0.17
2022-03-26,5767,230,86,315.1,3.99,37.39,1.37,9262,462,6,89.3,4.99,1.3,0.19
2022-03-27,3337,133,39,167.58,3.99,29.32,1.26,10229,510,45,94.73,4.99,8.82,0.19
2022-03-28,3878,155,60,190.65,4.0,38.71,1.23,9116,454,27,70.49,4.98,5.95,0.16
2022-03-29,4076,163,67,159.74,4.0,41.1,0.98,7392,368,33,96.43,4.98,8.97,0.26
2022-03-30,3791,151,57,179.69,3.98,37.75,1.19,8108,404,45,124.84,4.98,11.14,0.31
2022-03-31,5264,210,62,220.5,3.99,29.52,1.05,11362,567,27,126.24,4.99,4.76,0.22
2022-04-01,3763,150,57,108.0,3.99,38.0,0.72,7610,379,9,92.93,4.98,2.37,0.25
2022-04-02,5235,209,84,148.39,3.99,40.19,0.71,9775,487,33,101.5,4.98,6.78,0.21
2022-04-03,3379,135,45,108.0,4.0,33.33,0.8,10998,548,34,62.69,4.98,6.2,0.11
2022-04-04,3492,139,48,195.99,3.98,34.53,1.41,7672,382,20,113.95,4.98,5.24,0.3
2022-04-05,4180,167,52,175.35,4.0,31.14,1.05,10677,532,27,92.37,4.98,5.08,0.17
2022-04-06,5062,202,72,248.46,3.99,35.64,1.23,7030,350,13,95.64,4.98,3.71,0.27
2022-04-07,3064,122,49,103.7,3.98,40.16,0.85,8400,419,30,129.89,4.99,7.16,0.31
2022-04-08,5568,222,81,202.02,3.99,36.49,0.91,11071,552,16,96.95,4.99,2.9,0.18
2022-04-09,4367,174,76,109.62,3.98,43.68,0.63,7616,380,32,61.7,4.99,8.42,0.16
2022-04-10,4152,166,58,111.22,4.0,34.94,0.67,11634,580,48,78.2,4.99,8.28,0.13
2022-04-11,5027,201,62,267.33,4.0,30.85,1.33,9786,488,55,98.05,4.99,11.27,0.2
2022-04-12,5695,227,80,245.16,3.99,35.24,1.08,7870,392,51,93.95,4.98,13.01,0.24
2022-04-13,4495,179,50,150.36,3.98,27.93,0.84,11196,558,16,128.83,4.98,2.87,0.23
2022-04-14,4162,166,55,215.8,3.99,33.13,1.3,10604,529,9,103.37,4.99,1.7,0.2
2022-04-15,4522,180,71,135.0,3.98,39.44,0.75,8412,419,48,115.17,4.98,11.46,0.27
2022-04-16,5640,225,80,333.0,3.99,35.56,1.48,9739,486,52,97.55,4.99,10.7,0.2
2022-04-17,3391,135,48,113.4,3.98,35.56,0.84,7940,396,42,95.17,4.99,10.61,0.24
2022-04-18,4698,187,74,157.08,3.98,39.57,0.84,7340,366,29,95.7,4.99,7.92,0.26
2022-04-19,3418,136,46,110.16,3.98,33.82,0.81,9908,494,6,92.87,4.99,1.21,0.19
2022-04-20,5336,213,80,132.06,3.99,37.56,0.62,11133,555,41,103.09,4.99,7.39,0.19
2022-04-21,3378,135,47,82.35,4.0,34.81,0.61,7659,382,58,80.04,4.99,15.18,0.21
2022-04-22,4796,191,68,219.65,3.98,35.6,1.15,9033,450,50,131.28,4.98,11.11,0.29
2022-04-23,5278,211,67,291.18,4.0,31.75,1.38,8560,427,34,86.65,4.99,7.96,0.2
2022-04-24,5088,203,68,261.87,3.99,33.5,1.29,10457,521,44,71.8,4.98,8.45,0.14
2022-04-25,5182,207,65,132.48,3.99,31.4,0.64,8656,432,29,67.72,4.99,6.71,0.16
2022-04-26,3200,128,44,134.4,4.0,34.38,1.05,9975,497,56,61.07,4.98,11.27,0.12
2022-04-27,4863,194,69,118.34,3.99,35.57,0.61,8049,401,23,93.83,4.98,5.74,0.23
2022-04-28,3779,151,47,83.05,4.0,31.13,0.55,7453,371,27,75.01,4.98,7.28,0.2
2022-04-29,5977,239,93,277.24,4.0,38.91,1.16,8704,434,32,61.73,4.99,7.37,0.14
2022-04-30,3502,140,50,145.6,4.0,35.71,1.04,9784,488,21,101.6,4.99,4.3,0.21
2022-05-01,5454,218,76,126.44,4.0,34.86,0.58,7818,390,30,114.4,4.99,7.69,0.29
2022-05-02,4751,190,70,100.7,4.0,36.84,0.53,11868,592,11,66.86,4.99,1.86,0.11
2022-05-03,3804,152,49,226.48,4.0,32.24,1.49,7012,349,42,96.87,4.98,12.03,0.28
2022-05-04,5146,205,72,108.65,3.98,35.12,0.53,10979,547,16,119.49,4.98,2.93,0.22
2022-05-05,5731,229,76,215.26,4.0,33.19,0.94,7920,395,19,138.86,4.99,4.81,0.35
2022-05-06,4895,195,76,195.0,3.98,38.97,1.0,11920,594,57,113.38,4.98,9.6,0.19
2022-05-07,5773,230,75,142.6,3.98,32.61,0.62,9418,470,32,79.59,4.99,6.81,0.17
2022-05-08,4570,182,64,121.94,3.98,35.16,0.67,8314,414,5,117.32,4.98,1.21,0.28
2022-05-09,3960,158,56,134.3,3.99,35.44,0.85,10677,532,19,107.83,4.98,3.57,0.2
2022-05-10,5660,226,81,284.76,3.99,35.84,1.26,9017,450,56,76.94,4.99,12.44,0.17
2022-05-11,4485,179,59,180.79,3.99,32.96,1.01,8228,410,33,128.09,4.98,8.05,0.31
2022-05-12,5690,227,74,258.78,3.99,32.6,1.14,11792,588,44,94.19,4.99,7.48,0.16
2022-05-13,4028,161,53,239.89,4.0,32.92,1.49,9434,470,28,136.96,4.98,5.96,0.29
2022-05-14,3502,140,51,177.8,4.0,36.43,1.27,9868,492,7,117.83,4.99,1.42,0.24
2022-05-15,5814,232,80,215.76,3.99,34.48,0.93,9515,474,23,111.57,4.98,4.85,0.24
2022-05-16,3397,135,51,128.25,3.97,37.78,0.95,8438,421,10,118.27,4.99,2.38,0.28
2022-05-17,3870,154,56,172.48,3.98,36.36,1.12,11164,557,7,98.25,4.99,1.26,0.18
2022-05-18,5842,233,70,272.61,3.99,30.04,1.17,10543,526,25,100.42,4.99,4.75,0.19
2022-05-19,3392,135,48,135.0,3.98,35.56,1.0,10175,507,42,128.1,4.98,8.28,0.25
2022-05-20,3206,128,56,145.92,3.99,43.75,1.14,8781,438,26,114.47,4.99,5.94,0.26
2022-05-21,4038,161,62,83.72,3.99,38.51,0.52,9263,462,8,131.78,4.99,1.73,0.29
2022-05-22,4881,195,70,181.35,4.0,35.9,0.93,8969,447,14,131.27,4.98,3.13,0.29
2022-05-23,5939,237,77,184.86,3.99,32.49,0.78,7211,359,55,138.12,4.98,15.32,0.38
2022-05-24,4484,179,65,112.77,3.99,36.31,0.63,7507,374,10,116.02,4.98,2.67,0.31
2022-05-25,3863,154,57,92.4,3.99,37.01,0.6,7331,365,19,100.18,4.98,5.21,0.27
2022-05-26,5790,231,79,254.1,3.99,34.2,1.1,7550,376,8,73.3,4.98,2.13,0.19
2022-05-27,3563,142,51,144.84,3.99,35.92,1.02,7941,396,35,116.43,4.99,8.84,0.29
2022-05-28,4020,160,63,120.0,3.98,39.38,0.75,7727,385,26,83.33,4.98,6.75,0.22
2022-05-29,3095,123,38,119.31,3.97,30.89,0.97,11975,597,58,82.64,4.99,9.72,0.14
2022-05-30,4923,196,63,194.04,3.98,32.14,0.99,9862,492,38,79.06,4.99,7.72,0.16
2022-05-31,4757,190,69,133.0,3.99,36.32,0.7,10243,511,53,130.01,4.99,10.37,0.25
2022-06-01,5532,221,79,254.15,3.99,35.75,1.15,7648,381,54,129.44,4.98,14.17,0.34
2022-06-02,5278,211,78,270.08,4.0,36.97,1.28,9737,485,30,110.48,4.98,6.19,0.23
2022-06-03,5796,231,83,297.99,3.99,35.93,1.29,9747,486,51,97.84,4.99,10.49,0.2
2022-06-04,4678,187,62,205.7,4.0,33.16,1.1,8009,399,54,113.77,4.98,13.53,0.29
2022-06-05,3540,141,51,142.41,3.98,36.17,1.01,8550,426,49,108.58,4.98,11.5,0.25
2022-06-06,4059,162,50,90.72,3.99,30.86,0.56,7803,389,24,93.26,4.99,6.17,0.24
2022-06-07,5572,222,76,175.38,3.98,34.23,0.79,11080,552,46,90.37,4.98,8.33,0.16
2022-06-08,4183,167,60,98.53,3.99,35.93,0.59,11309,564,6,90.62,4.99,1.06,0.16
2022-06-09,4722,188,63,274.48,3.98,33.51,1.46,11264,562,16,107.13,4.99,2.85,0.19
2022-06-10,4819,192,79,122.88,3.98,41.15,0.64,10401,519,29,111.81,4.99,5.59,0.22
2022-06-11,5625,225,69,146.25,4.0,30.67,0.65,11241,561,45,96.14,4.99,8.02,0.17
2022-06-12,5729,229,77,318.31,4.0,33.62,1.39,11611,579,9,137.5,4.99,1.55,0.24
2022-06-13,5604,224,73,322.56,4.0,32.59,1.44,10161,507,57,66.71,4.99,11.24,0.13
2022-06-14,4597,183,60,232.41,3.98,32.79,1.27,11548,576,23,87.76,4.99,3.99,0.15
2022-06-15,5693,227,76,115.77,3.99,33.48,0.51,11155,556,47,93.53,4.98,8.45,0.17
2022-06-16,3795,151,46,75.5,3.98,30.46,0.5,7527,375,53,61.35,4.98,14.13,0.16
2022-06-17,4051,162,60,142.56,4.0,37.04,0.88,10298,513,57,89.2,4.98,11.11,0.17
2022-06-18,4643,185,62,118.4,3.98,33.51,0.64,8023,400,32,81.9,4.99,8.0,0.2
2022-06-19,4363,174,61,90.48,3.99,35.06,0.52,10734,535,55,100.48,4.98,10.28,0.19
2022-06-20,4981,199,67,191.04,4.0,33.67,0.96,7432,370,33,86.91,4.98,8.92,0.23
2022-06-21,4354,174,57,250.56,4.0,32.76,1.44,8176,408,57,118.09,4.99,13.97,0.29
2022-06-22,4663,186,73,152.52,3.99,39.25,0.82,7400,369,28,100.79,4.99,7.59,0.27
2022-06-23,4529,181,67,209.96,4.0,37.02,1.16,9104,454,16,70.38,4.99,3.52,0.16
2022-06-24,5038,201,61,231.15,3.99,30.35,1.15,10050,501,7,120.0,4.99,1.4,0.24
2022-06-25,4496,179,52,134.25,3.98,29.05,0.75,9233,460,23,67.94,4.98,5.0,0.15
2022-06-26,5237,209,78,240.35,3.99,37.32,1.15,9445,471,15,127.12,4.99,3.18,0.27
2022-06-27,4408,176,59,124.96,3.99,33.52,0.71,11700,583,17,134.51,4.98,2.92,0.23
2022-06-28,4400,176,53,109.12,4.0,30.11,0.62,9835,490,37,85.8,4.98,7.55,0.18
2022-06-29,4306,172,65,206.4,3.99,37.79,1.2,9513,474,34,134.09,4.98,7.17,0.28
2022-06-30,5680,227,80,138.47,4.0,35.24,0.61,8773,437,55,123.44,4.98,12.59,0.28
2022-07-01,5675,227,80,340.5,4.0,35.24,1.5,8096,404,20,133.79,4.99,4.95,0.33
2022-07-02,3972,158,59,107.44,3.98,37.34,0.68,7928,395,42,113.3,4.98,10.63,0.29
2022-07-03,4768,190,59,207.1,3.98,31.05,1.09,8951,446,40,78.85,4.98,8.97,0.18
2022-07-04,4282,171,51,155.61,3.99,29.82,0.91,8973,447,48,131.56,4.98,10.74,0.29
2022-07-05,3709,148,59,93.24,3.99,39.86,0.63,8554,426,36,74.74,4.98,8.45,0.18
2022-07-06,4479,179,55,94.87,4.0,30.73,0.53,9778,488,20,77.04,4.99,4.1,0.16
2022-07-07,4434,177,55,198.24,3.99,31.07,1.12,11421,570,5,81.69,4.99,0.88,0.14
2022-07-08,3648,145,45,189.95,3.97,31.03,1.31,7994,398,5,84.34,4.98,1.26,0.21
2022-07-09,3317,132,56,176.88,3.98,42.42,1.34,7612,379,39,101.16,4.98,10.29,0.27
2022-07-10,4257,170,61,166.6,3.99,35.88,0.98,9593,478,30,117.08,4.98,6.28,0.24
2022-07-11,3683,147,56,188.16,3.99,38.1,1.28,7595,379,40,134.1,4.99,10.55,0.35
2022-07-12,3663,146,52,170.82,3.99,35.62,1.17,7841,391,48,67.08,4.99,12.28,0.17
2022-07-13,4998,199,66,242.78,3.98,33.17,1.22,11439,570,11,136.35,4.98,1.93,0.24
2022-07-14,4631,185,67,183.15,3.99,36.22,0.99,7858,392,39,133.71,4.99,9.95,0.34
2022-07-15,4495,179,54,202.27,3.98,30.17,1.13,7444,371,56,64.32,4.98,15.09,0.17
2022-07-16,4136,165,52,216.15,3.99,31.52,1.31,8788,438,9,88.83,4.98,2.05,0.2
2022-07-17,4853,194,71,174.6,4.0,36.6,0.9,11317,564,12,125.05,4.98,2.13,0.22
2022-07-18,4520,180,56,235.8,3.98,31.11,1.31,10454,521,55,108.93,4.98,10.56,0.21
2022-07-19,5489,219,75,238.71,3.99,34.25,1.09,10952,546,30,122.33,4.99,5.49,0.22
2022-07-20,3563,142,48,95.14,3.99,33.8,0.67,11687,583,33,117.52,4.99,5.66,0.2
2022-07-21,4291,171,57,88.92,3.99,33.33,0.52,8030,400,16,99.74,4.98,4.0,0.25
2022-07-22,4636,185,54,159.1,3.99,29.19,0.86,8295,414,26,63.3,4.99,6.28,0.15
2022-07-23,5999,239,80,250.95,3.98,33.47,1.05,9063,452,20,106.74,4.99,4.42,0.24
2022-07-24,3698,147,47,196.98,3.98,31.97,1.34,8447,421,29,63.89,4.98,6.89,0.15
2022-07-25,5160,206,72,129.78,3.99,34.95,0.63,9045,451,55,108.3,4.99,12.2,0.24
2022-07-26,3001,120,42,156.0,4.0,35.0,1.3,11619,579,6,124.03,4.98,1.04,0.21
2022-07-27,3641,145,52,197.2,3.98,35.86,1.36,9850,491,40,106.8,4.98,8.15,0.22
2022-07-28,5267,210,70,136.5,3.99,33.33,0.65,10824,540,35,139.76,4.99,6.48,0.26
2022-07-29,4589,183,66,247.05,3.99,36.07,1.35,9068,452,54,96.47,4.98,11.95,0.21
2022-07-30,3854,154,46,229.46,4.0,29.87,1.49,10761,537,26,119.91,4.99,4.84,0.22
2022-07-31,4759,190,57,233.7,3.99,30.0,1.23,9275,462,38,113.38,4.98,8.23,0.25
2022-08-01,5432,217,64,277.76,3.99,29.49,1.28,8808,439,13,139.31,4.98,2.96,0.32
2022-08-02,4661,186,62,277.14,3.99,33.33,1.49,8311,414,58,117.06,4.98,14.01,0.28
2022-08-03,4153,166,54,184.26,4.0,32.53,1.11,11055,551,5,73.12,4.98,0.91,0.13
2022-08-04,4076,163,60,132.03,4.0,36.81,0.81,9451,471,13,136.44,4.98,2.76,0.29
2022-08-05,4707,188,62,251.92,3.99,32.98,1.34,8089,403,48,113.42,4.98,11.91,0.28
2022-08-06,5777,231,82,256.41,4.0,35.5,1.11,8672,432,42,64.75,4.98,9.72,0.15
2022-08-07,4695,187,69,201.96,3.98,36.9,1.08,10675,532,7,112.61,4.98,1.32,0.21
2022-08-08,4733,189,62,141.75,3.99,32.8,0.75,11532,575,32,130.65,4.99,5.57,0.23
2022-08-09,4439,177,63,223.02,3.99,35.59,1.26,11924,595,57,106.16,4.99,9.58,0.18
2022-08-10,5294,211,78,122.38,3.99,36.97,0.58,11354,566,26,88.32,4.99,4.59,0.16
2022-08-11,3835,153,47,217.26,3.99,30.72,1.42,9003,449,49,125.67,4.99,10.91,0.28
2022-08-12,3202,128,44,106.24,4.0,34.38,0.83,11198,558,47,122.6,4.98,8.42,0.22
2022-08-13,3122,124,39,78.12,3.97,31.45,0.63,11864,592,55,103.53,4.99,9.29,0.17
2022-08-14,3400,136,41,127.84,4.0,30.15,0.94,8124,405,43,72.35,4.99,10.62,0.18
2022-08-15,3766,150,44,81.0,3.98,29.33,0.54,8221,410,28,80.08,4.99,6.83,0.2
2022-08-16,3293,131,39,154.58,3.98,29.77,1.18,9860,492,38,119.08,4.99,7.72,0.24
2022-08-17,5327,213,74,298.2,4.0,34.74,1.4,9273,462,45,124.49,4.98,9.74,0.27
2022-08-18,5931,237,74,317.58,4.0,31.22,1.34,9990,498,14,82.34,4.98,2.81,0.17
2022-08-19,3197,127,41,80.01,3.97,32.28,0.63,9510,474,32,89.44,4.98,6.75,0.19
2022-08-20,4930,197,73,124.11,4.0,37.06,0.63,7236,361,22,66.21,4.99,6.09,0.18
2022-08-21,5799,231,83,302.61,3.98,35.93,1.31,8144,406,46,117.08,4.99,11.33,0.29
2022-08-22,5191,207,69,293.94,3.99,33.33,1.42,10253,511,57,60.29,4.98,11.15,0.12
2022-08-23,3608,144,58,138.24,3.99,40.28,0.96,10782,538,46,63.72,4.99,8.55,0.12
2022-08-24,4147,165,67,165.0,3.98,40.61,1.0,7766,387,31,60.35,4.98,8.01,0.16
2022-08-25,3186,127,44,104.14,3.99,34.65,0.82,9681,483,7,111.63,4.99,1.45,0.23
2022-08-26,5511,220,64,305.8,3.99,29.09,1.39,9665,482,33,93.39,4.99,6.85,0.19
2022-08-27,4794,191,71,217.74,3.98,37.17,1.14,8759,437,6,83.8,4.99,1.37,0.19
2022-08-28,3659,146,39,115.34,3.99,26.71,0.79,10491,523,9,133.02,4.99,1.72,0.25
2022-08-29,5811,232,88,185.6,3.99,37.93,0.8,9815,489,5,75.42,4.98,1.02,0.15
2022-08-30,4955,198,74,275.22,4.0,37.37,1.39,10513,524,32,91.15,4.98,6.11,0.17
2022-08-31,5450,218,85,111.18,4.0,38.99,0.51,7495,374,11,135.22,4.99,2.94,0.36
2022-09-01,4369,174,62,142.68,3.98,35.63,0.82,10180,508,15,94.17,4.99,2.95,0.19
2022-09-02,4986,199,67,208.95,3.99,33.67,1.05,10930,545,22,104.38,4.99,4.04,0.19
2022-09-03,4534,181,61,117.65,3.99,33.7,0.65,9072,452,53,66.43,4.98,11.73,0.15
2022-09-04,3146,125,41,73.75,3.97,32.8,0.59,7337,366,43,123.21,4.99,11.75,0.34
2022-09-05,5911,236,87,311.52,3.99,36.86,1.32,10949,546,30,93.82,4.99,5.49,0.17
2022-09-06,4734,189,69,262.71,3.99,36.51,1.39,10108,504,23,124.04,4.99,4.56,0.25
2022-09-07,4843,193,68,254.76,3.99,35.23,1.32,8817,440,17,80.3,4.99,3.86,0.18
2022-09-08,3488,139,45,194.6,3.99,32.37,1.4,7136,356,32,93.8,4.99,8.99,0.26
2022-09-09,5976,239,96,250.95,4.0,40.17,1.05,9555,476,28,122.92,4.98,5.88,0.26
2022-09-10,4959,198,73,259.38,3.99,36.87,1.31,11415,569,39,137.91,4.98,6.85,0.24
2022-09-11,4663,186,57,163.68,3.99,30.65,0.88,7915,395,36,64.77,4.99,9.11,0.16
2022-09-12,5598,223,75,260.91,3.98,33.63,1.17,10538,525,38,125.0,4.98,7.24,0.24
2022-09-13,5385,215,79,320.35,3.99,36.74,1.49,9100,454,19,84.06,4.99,4.19,0.19
2022-09-14,5919,236,78,172.28,3.99,33.05,0.73,9907,494,32,104.06,4.99,6.48,0.21
2022-09-15,3640,145,52,129.05,3.98,35.86,0.89,9914,494,41,83.21,4.98,8.3,0.17
